序号,收录日期,期号,领域,主题分类,论文标题,作者/机构,来源/发布日期,推荐标记,推荐理由,核心结论摘要,创新点,局限性,原文链接
21,2026-07-26,第1期-年度回顾,AI/大模型,代码生成,SciCodePile: A 128GB Corpus and Executable Benchmark for Scientific Code Generation,学术合作,arXiv/2026-07,普通收录,科学代码生成大规模基准,128GB科学代码语料+200任务可执行基准,首个大规模科学代码生成评估,科学领域覆盖有限,https://arxivtldr.org/abs/2607.19104
22,2026-07-26,第1期-年度回顾,AI/大模型,LLM推理,Copy Less Ground More: Overcoming Repetitive Copying via Evidence-Aware RL,学术合作,arXiv/2026-07,普通收录,证据感知RL减少长上下文重复,识别重复复制为长上下文LLM关键失败模式,GEAR奖励塑造方法+证据标注自动化管线,需要证据标注训练数据,https://arxivtldr.org/abs/2607.19345
23,2026-07-26,第1期-年度回顾,AI/大模型,RAG,RAGAL: A Frugal Fully Local RAG Assistant for Technical Support,学术合作,arXiv/2026-07,普通收录,政府机构本地RAG实践,严格数据本地化约束下的RAG工程实践,混合检索+意图路由+本地微调,特定于政府技术支持场景,https://arxivtldr.org/abs/2607.18756
24,2026-07-26,第1期-年度回顾,AI/大模型,多模态,MeetingToM: Evaluating Multimodal LLMs on Theory-of-Mind Reasoning,学术合作,arXiv/2026-07,普通收录,多方会议心理理论基准,评估MLLM在多方会议中的ToM推理,分层评估主体/二元/群体共识,会议场景特定,https://arxivtldr.org/abs/2607.19235
25,2026-07-26,第1期-年度回顾,AI/大模型,多模态,Appearance Pointers: Multimodal Region Control of Diffusion Transformers,学术合作,arXiv/2026-07,普通收录,DiT区域级多模态控制,无需重训练实现精确区域控制,外观指针实现模态无关局部控制,需要用户提供mask,https://arxivtldr.org/abs/2607.19344
26,2026-07-26,第1期-年度回顾,AI/大模型,多模态,MV-Bench: Benchmarking MLLMs for Multi-View Interface Construction,学术合作,arXiv/2026-07,普通收录,多视图界面构建基准,揭示MLLM在数据绑定和交互逻辑上的弱点,1048实例+可执行代码的完整基准,Tableau特定,https://arxivtldr.org/abs/2607.19910
27,2026-07-26,第1期-年度回顾,AI/大模型,机器人,Agentic Real2Sim: Physics-based World Modeling with Vision-Language Agents,学术合作,arXiv/2026-07,普通收录,视觉语言Agent驱动物理仿真,真实机器人交互自动转换为可运行物理仿真,统一刚体/可变形/人形运动,仿真精度有待验证,https://arxivtldr.org/abs/2607.19190
28,2026-07-26,第1期-年度回顾,AI/大模型,AI可持续,Towards Robust ESG Analysis Against Greenwashing Risks,Ant Group,arXiv/2025-02,普通收录,ESG洗绿检测AI框架,方面-行动分析框架检测企业ESG声明真实性,跨类别泛化检测洗绿,ESG领域特定,https://arxiv.org/abs/2502.15821
29,2026-07-26,第1期-年度回顾,AI/大模型,LLM架构,COMPREHENSIVE SURVEY 2025-2026 LLM全领域综述,多机构合作,arXiv/2026-04,普通收录,基于284486篇论文的LLM全领域综述,从参数竞赛到架构革命的系统性梳理,最大规模LLM综述,综述无原创实验,https://www.toutiao.com/article/7630485623576592942/
30,2026-07-26,第2期-每周执行,AI/大模型,AI Agent,AREX: Towards a Recursively Self-Improving Agent for Deep Research,"Shuqi Lu, Chaofan Li, Kun Luo 等 (25 authors)",arXiv/2026-07,⭐ Top 3 必读,递归自改进深度研究Agent，本周Agent方向最值得关注,构建递归自改进的研究Agent用于深度研究任务，能自我优化研究流程。,递归自改进的Agent架构，持续迭代研究能力,自改进循环的安全性与收敛性未充分验证,https://arxiv.org/abs/2607.21461
31,2026-07-26,第2期-每周执行,AI/大模型,AI Agent,OpenForgeRL: Train Harness-native Agents in Any Environment,"Xiao Yu, Baolin Peng, Jianfeng Gao 等",arXiv/2026-07,普通收录,任意环境下原生训练RL Agent的框架,提出在任何harness环境中原生训练强化学习Agent的框架。,环境无关的原生RL Agent训练harness,跨环境泛化能力需更多验证,https://arxiv.org/abs/2607.21557
32,2026-07-26,第2期-每周执行,AI/大模型,多模态,MIRROR: Learning from the Other View for Multi-Modal Reasoning,"Wen Ye, Yuxiao Qu, Aviral Kumar, Xuezhe Ma",arXiv/2026-07,普通收录,通过其他视角学习提升多模态推理,通过从替代视角学习来提升多模态推理能力。,跨视角学习机制增强多模态推理,视角生成质量依赖性强,https://arxiv.org/abs/2607.21552
33,2026-07-26,第2期-每周执行,AI/大模型,代码生成,ICAE-Bench: Evaluating Coding Agents as Interactive Project Builders,"Zhongyuan Peng, Dan Huang, Chuyu Zhang 等",arXiv/2026-07,普通收录,将代码Agent评估为交互式项目构建者,提出评估代码Agent作为交互式项目构建者的基准。,交互式项目构建视角的Agent评测,仅覆盖部分项目类型,https://arxiv.org/abs/2607.21217
34,2026-07-26,第2期-每周执行,AI/大模型,多模态,EmoAgent-R1: Towards Multimodal Emotion Understanding with RL-based Dynamic Agent Specialization,"Lihuang Fang, Yuchen Zou, Jinghui Qin 等",arXiv/2026-07,⭐ Top 3 必读,RL动态Agent专精化做多模态情绪理解，本周多模态亮点,基于强化学习的动态Agent专精化实现多模态情绪理解。,RL驱动的动态Agent专精化机制,情绪标注主观性影响评估,https://arxiv.org/abs/2607.21013
35,2026-08-11,第3期-每周执行,AI/大模型,LLM推理,"Test-Time Scaling in Reasoning LLMs: Inference Regimes, Evaluation, and Reproducibility","Mohsen Hariri, Weicong Chen, Nahal Shahini, Vikash Singh, Kai Ye 等 (14 authors)",arXiv/2026-08-04,⭐ Top 3 必读,首次体系化定义测试时计算的三种推理范式，发布超20亿推理trace,将TTS形式化为自回归模型隐式前缀树上的三类结构范式：单轨迹顺序扩展、叶级扩展+终端聚合、前缀级搜索；提出evaluation profile和可复现性标准,首次对测试时计算范式进行系统化分类与评估框架设计,三种范式边界在实际系统中模糊；闭源模型推理协议不公开时适用性有限,https://arxiv.org/abs/2608.04001
36,2026-08-11,第3期-每周执行,AI/大模型,LLM推理,"Right Answer, Wrong Method: Shortcut Hacking Misleads the Evaluation of LLM Reasoning on Frontier Science Benchmarks","Xuan Ren, Weiqi Zhai, Tianle Pu, Yihua Zhu 等",arXiv/2026-08-03,⭐ Top 3 必读,揭露LLM在科学基准上8.2%-44.1%正确答案实为捷径作弊，根本性挑战现有评估方法,定义Solution Hacking五种模式，发现hacking随难度递增（奥赛28.3%、HLE 37.4%），开发自动判定器和反作弊策略,首次系统命名并量化LLM科学推理中的Solution Hacking现象,自动判定器准确性在复杂科学领域可能有限,https://arxiv.org/abs/2608.02442
37,2026-08-11,第3期-每周执行,AI/大模型,AI Agent,DreamGuard: Efficient Runtime Guardrail for LLM Agents via Risk-Aware World Model,"Wenhao Lin, Chenyu Yu, Xingwei Lin, Sicong Cao, Xiang Chen 等 (9 authors)",arXiv/2026-08-06,⭐ Top 3 必读,首创风险感知世界模型的Agent主动安全护栏，延迟仅25ms,基于风险感知世界模型预测即时危害和长程前缀风险，融合多层级信号进行前摄式干预,首创前摄式Agent安全护栏，从被动检查升级为轨迹级风险预测,世界模型预测能力受限于训练数据覆盖范围,https://arxiv.org/abs/2608.05695
38,2026-08-11,第3期-每周执行,AI/大模型,AI安全,Diffusion LLMs as Targets and Adversaries: Mechanistic Safety Exploits,"Elena Dumitrescu, Gert Lek, Lydia Y. Chen, Jeremie Decouchant",arXiv/2026-08-07,普通收录,首次系统性揭示扩散语言模型的安全脆弱性,DLLM从自回归前身继承稀疏安全机制；自剪枝将攻击成功率从1.9%提升至86.6%；提出离线黑盒越狱框架SN-Guided Diffusion,首次系统研究DLLM安全对齐机制，揭示继承性安全神经元的脆弱性,主要关注从AR模型初始化的DLLM，完全从头训练的DLLM安全性未知,https://arxiv.org/abs/2608.07430
39,2026-08-11,第3期-每周执行,AI/大模型,LLM应用,Large Language Models Can Predict the Results of Social Science Experiments,"Ashwini Ashokkumar, Luke Hewitt, Isaias Ghezae, Robb Willer",Nature/2026-08-06,普通收录,Nature正刊发表LLM预测社会科学实验的首项大规模实证研究,构建70项实验/469效应/119330参与者档案库，GPT-4预测与实际效应高度相关，准确性与人类预测者相当,首次在Nature级别期刊系统验证LLM作为社会科学实验预测工具,效应量系统性地被高估；跨文化和跨语言泛化能力不明,https://www.nature.com/articles/s41586-026-10742-x
40,2026-08-16,第4期-每周执行,AI/大模型,LLM推理,Consilience for Verifier-Free Test-Time Scaling,"Lecheng Kong, Like Hui, Haitao Mao, Jun Huan",arXiv:2608.09898 / 2026-08-10,⭐ Top 3 必读,提出用置信度轨迹的时序不对称筛选正确推理，破解无验证器场景下置信度法在难题上的失效,无验证器场景下，单纯按平均置信度选采样会因'全程高置信=未探索'而失效；提出consilience指标S=C_final-α·C_initial，奖励'前低后高'的置信度轨迹,首次把VF-TTS评价从单点置信度推进到置信度轨迹时序结构，无训练、低开销、即插即用,依赖模型置信度校准质量；'前低后高'形态并非所有任务都成立；α参数设定缺乏系统准则,https://arxiv.org/abs/2608.09898
41,2026-08-16,第4期-每周执行,AI/大模型,LLM推理,Claim-Level Reliability Assessment for Efficient Test-Time Reasoning,"Sen Xu, Wei Wang, Shixi Liu, Jixin Min, Yingwei Dai, Zhibin Yin, Yirong Chen, Junlin Zhang",arXiv:2608.11994 / 2026-08-12,⭐ Top 3 必读,把推理链压缩成决策关键主张并用'证伪'思路筛错，更省token地超越自一致性,整链评估会因常规token稀释关键错误；CLR把推理链压缩为决策关键主张，用语义证伪搜索负证据，非线性打分压缩错误共识,利用'构造vs证伪'的不对称性，把算力从多采样转向精准验证；GPT-OSS-20B上超pass@1达27.15个百分点，省37%token,主张抽取依赖LLM质量；证伪增加调用轮次；未覆盖超长程agent任务,https://arxiv.org/abs/2608.11994
42,2026-08-16,第4期-每周执行,AI/大模型,LLM蒸馏,Towards Understanding On-Policy Distillation through the Lens of Test-Time Scaling,"Xinmu Ge, Zizhuo Zhang, Yu Huang, Jianing Zhu 等（含阿里系）",arXiv:2608.11829 / 2026-08-12,⭐ Top 3 必读,用pass@K/avg@K视角揭示在线策略蒸馏的'幻觉'：提升采样效率却损伤能力边界,OPD模型avg@K持续占优但pass@K优势随K增大让位基线；pass@1024逐题分析显示OPD让更多原本可解题变不可解,首次用test-time scaling度量分离'能力边界'与'采样效率'，揭示OPD是'幻觉式蒸馏',依赖采样度量可能存在偏差；更大规模/更长训练下结论待验证；未给建设性改进方案,https://arxiv.org/abs/2608.11829
43,2026-08-16,第4期-每周执行,AI/大模型,LLM推理,Test-Time Augmentation for LLMs: When Input Diversity Beats Output Diversity at Matched Compute,"Nikita Kozodoi, Zainab Afolabi, Jack Butler",arXiv:2608.09351 / 2026-08-10,普通收录,输入侧扰动比输出侧采样更划算，每美元准确率约为自一致性的1.8倍,在匹配算力下，语义改写带来显著精度提升，Pareto优于自一致性，六任务中五胜出，对中等模型最划算,首次把CV的TTA思想系统引入LLM test-time scaling，并做matched-compute性价比对比,输入改写成本是否完全计入存疑；改写质量依赖改写模型；顶尖模型增益有限,https://arxiv.org/abs/2608.09351
44,2026-08-16,第4期-每周执行,AI/大模型,AI Agent,Mendel Gödel Machine: Recursive Self-Improving Coding Agents via Comparative Evolution,"Changzhi Liu, Yilun Liu, Sikuan Yan, Volker Tresp, Yunpu Ma（慕尼黑大学等）",arXiv:2608.07645 / 2026-08-12,普通收录,用比较式进化替代单轨迹反思，从历史尝试档案中提取比较信号指导递归自我改进,现有自改进agent只看单一失败轨迹，忽略历史尝试的比较信号；提出比较式进化范式维护历史档案做成对排序,缝合进化计算与LLM自我改进，提供比单轨迹反思更系统的改进信号来源,历史档案带来存储与上下文开销；比较信号依赖评估器质量；预印本未同行评议,https://arxiv.org/abs/2608.07645
45,2026-08-23,第5期-每周执行,AI/大模型,Agent框架/科学智能体,Eureka: Task-Conditioned Meta-Agent Orchestration for Scientific Discovery,"Alizer Wong, Heng Cui, Yi Tan等（多机构合作）",arXiv/2026-08-19,⭐ Top 3 必读,任务条件化元智能体编排，架构与任务认知结构对齐,元智能体编译长时程任务为义务图，动态组建Macro-Agent，170个递归任务全完成,滚动时域规划+成本收益门控架构演化，理论+实验双重闭环,验证以纯推理/形式化任务为主，真实科研场景未充分验证,https://arxiv.org/abs/2608.19047
46,2026-08-23,第5期-每周执行,AI/大模型,Agent框架/强化学习,SPADE: Self-Play in Adaptive Synthetic Executable Environments,"Bo Liu, Simon Yu, Yiding Jiang, Luke Zettlemoyer, Yejin Choi, Natasha Jaques等（华盛顿大学/斯坦福/MIT等）",arXiv/2026-08-20,⭐ Top 3 必读,单LLM双角色自博弈，环境自生成实现开放式自我改进,双角色自博弈RL，LLM同时担任环境设计者与推理智能体，多基准性能提升,环境设计者+推理智能体共享一模型，免人工标注的自我改进闭环,work in progress，自博弈泛化到真实环境的风险待验证,https://arxiv.org/abs/2608.19197
47,2026-08-23,第5期-每周执行,AI/大模型,多模态生成/可控生成,WithEveryone: Unified Planning and Identity Grounding for Group Image Generation,"Hengyuan Xu, Qixun Wang, Yiji Cheng等（含复旦大学）",arXiv/2026-08-20,⭐ Top 3 必读,身份保持群像生成，布局接地损失替代脆弱嵌入匹配,扩展到十人群像生成，人脸相似度0.462→0.499，复制粘贴伪影0.169→0.055,身份-布局计划渲染为视觉条件，布局接地身份损失直接监督位置,绝对指标仍不高，未充分测试身份相似/极端遮挡场景,https://arxiv.org/abs/2608.20336
48,2026-08-23,第5期-每周执行,AI/大模型,Agent框架/训练环境,EnvHarness: Converting Static Datasets into Interactive Environments for Agent Training,Google（17人作者团队）,arXiv/2026-08-20,普通收录,静态数据集转化为交互式智能体训练环境,把静态数据集包装为可执行可反馈任务，五基准最高提升9.0分、步骤减9.8%,环境供给的规模化思路，把数据唤醒为环境,摘要为up to值缺绝对基线，转换机制普适性待验证,https://arxiv.org/abs/2608.19880
49,2026-08-23,第5期-每周执行,AI/大模型,LLM架构/结构化预测,When Machines Speak: UniLang Unifying Machine-Native Symbols into LLMs,"Su Yan, Rakesh Iyer",arXiv/2026-08-20,普通收录,机器原生符号作为一等生成单元集成进LLM,扩词表与嵌入空间，符号与文本联合自回归建模，序列推荐+法律先例两任务超基线,符号接地为生成单元，免任务特定架构，保留结构化信息,仅两任务验证，开放词表/灾难性遗忘风险未充分讨论,https://arxiv.org/abs/2608.19529
91,2026-08-30,第6期-每周执行,AI/大模型,开源大模型/MoE架构,腾讯混元 Hy4 Preview：770B 开源 MoE 大模型,腾讯混元团队（腾讯，姚顺雨主导）,"腾讯官方/arXiv/HuggingFace, 2026-08-28",⭐ Top 3 必读,国产开源模型首次以递归自我改进参与自身训练，1M上下文+Apache 2.0全开源，兼具训练范式与工程部署双重突破,开源770B/激活49B MoE大模型，1M上下文，Apache 2.0，首次让模型递归自我改进参与训练方法、数据策略、评估体系与底层算子优化，端到端吞吐较基线提升31.8%,递归自我改进训练回路；Gated DSA注意力+IndexCache稀疏索引复用；MTP投机解码；1M长上下文,官方benchmark主要来自内部盲测，缺第三方独立验证；递归自我改进机制与风险未充分披露,https://www.tencent.com/zh-cn/tencent-releases-and-open-sources-tencent-hy4-preview/
92,2026-08-30,第6期-每周执行,AI/大模型,LLM推理/智能体,Recursive Agentic Reasoning：递归智能体推理的统一视角,"Shengxin Zhang, Xiaomin Wu, Xiyang Wu, Jing Xie 等","arXiv:2608.23956, 2026-08-25",⭐ Top 3 必读,用统一递归算子框架首次严谨证明分支采样压倒性优于加深/分解，动摇算子路由假设,将推理时方法统一为GROW/PRUNE/BRANCH三种递归算子，在14个模型-基准设置、49327评分项、151876次调用上证明BRANCH平均提升5.98点且在12/14设置最优,统一递归算子视角；首次公平比较三种test-time compute方法；揭示BRANCH增益源于截断恢复(r=0.72),限于数学/编程基准，开放域与多步工具调用未验证；BRANCH内部采样与选择策略未展开,https://arxiv.org/abs/2608.23956
93,2026-08-30,第6期-每周执行,AI/大模型,智能体安全/Agent框架,Safety Does Not Compose：自主LLM智能体的循环级安全状态(LoopHarness),"Chenhao Wu, Haoxuan Jia, Yang Liu 等（国科大、南洋理工、京东、北大、复旦）","arXiv:2608.27141, 2026-08-27",⭐ Top 3 必读,理论上证明轨迹级安全监控对跨迭代分散证据攻击必然失效，提出循环级持久安全状态,证明轨迹级监控对跨迭代攻击真阳率恒等于假阳率；几何衰减风险分数也不够；LoopHarness将未授权不可逆操作限制为与运行时长无关的常数B+m-1+m/δM,循环级持久不衰减安全状态；严格的分离定理；常数界安全保证；含自适应白盒红队评估,理论+Agent-SafetyBench受控评估，真实开放环境落地是挑战；依赖中介提交与仲裁器机制,https://arxiv.org/abs/2608.27141
94,2026-08-30,第6期-每周执行,AI/大模型,多模态/扩散模型,VIG-Sampler：扩散多模态大模型的视觉信息引导并行解码,"Insu Lee, Wooje Park, Wonseok Shin, Jinwoo Son, Byonghyo Shim（首尔大学等）","arXiv:2608.26580, 2026-08-27",普通收录,用图像token注意力引导解码顺序，即插即用实现提速提效,VIG-Sampler根据token对图像token的注意力优先解码，在7个captioning/VQA基准、3个开源dMLLM上平均超Info-Gain Sampler 19.3 CIDEr分，COCO Caption用一半解码步数即超越,视觉注意力引导解码顺序；相似性惩罚约束提升信息增益；无需重训练即插即用,限于captioning/VQA任务，复杂多模态推理未验证；依赖注意力结构可解释性,https://arxiv.org/abs/2608.26580
95,2026-08-30,第6期-每周执行,AI/大模型,LLM推理/效率优化,Cascaded Batch Prompting：级联批处理提示,"Sho Hoshino, Peinan Zhang 等","arXiv:2608.27038, 2026-08-27",普通收录,两阶段解耦推理与符号接地，批处理提速同时恢复准确率,两阶段级联批处理将复杂推理与符号接地解耦，在MCQA和NLI上超越单提示基线，实现与批大小成正比的加速，在帕累托前沿建立新SOTA,推理与接地解耦的两阶段设计；首次解决批处理性能不可预测问题,限于MCQA/NLI结构化任务；级联引入额外调用开销,https://arxiv.org/abs/2608.27038
101,2026-09-06,第7期-每周执行,AI/大模型,推理加速,Uno: Unlocking Lossless Speedups in LLMs via Discrete Diffusion,Subham Sekhar Sahoo 等(CMU/MBZUAI及工业界),arXiv/2026-09-03,⭐ Top 3 必读,"离散扩散无损加速LLM,保留AR质量实现最高3x并行解码","将轻量扩散权重蒸馏进AR LLM,用Ψ-Spec采样器实现无损并行解码,无需草稿模型且不牺牲AR质量,8B模型超越26B DiffusionGemma","参数解耦为AR权重+轻量扩散权重,扩散蒸馏开销可忽略,可增补现有开源权重","扩散蒸馏稳定性待第三方复现,长上下文与低温度采样下的无损边界需验证",https://arxiv.org/abs/2609.04010
102,2026-09-06,第7期-每周执行,AI/大模型,多智能体系统,Codebook Agent: Amortized Topology Design for LLM Multi-Agent Systems,"Jinxi Yu, Yubei Li, Kai-Wei Chang, Ying Nian Wu 等(UCLA)",arXiv/2026-09-02,⭐ Top 3 必读,"向量量化压缩多智能体拓扑为16条目码本,2.4ms免搜索给出最优拓扑","VQ-VAE压缩成功拓扑为查询无关码本,MLP映射查询到码分布并重排,无迭代搜索无消息传递,6基准最准且省21.9-33.2% token","推翻条件图生成范式,实证发现有效拓扑坍缩约6种、边数与token成本负相关、共享画像下消息传递评分器失效","码本容量依赖训练分布,新任务域与超大规模N泛化未验证",https://arxiv.org/abs/2609.02264
103,2026-09-06,第7期-每周执行,AI/大模型,网络推理,Language-encoded network topology enables large language models to reason about complex networks,"Utsha, Mostafa, James Zou 等(斯坦福/杜克)",arXiv/2026-09-03,⭐ Top 3 必读,"将网络结构翻译为角色词汇,零改动提升LLM结构推理最高26个百分点","BioGlyph用图划分+结构测量识别枢纽/社区核心/跨社区连接器并翻译为通用词汇,五领域二十网络提升结构推理26个百分点,揭示跨社区连接器富集必需基因","图→可解释语言而非边列表/数值/可学习编码,不改网络不改LLM","稀疏网络增益衰减,固定规则可能漏掉motif与层次社区等细粒度结构",https://arxiv.org/abs/2609.03229
104,2026-09-06,第7期-每周执行,AI/大模型,Agent路由,TRIAGE: Three-level Routing and Intelligent Agent Guidance for Efficient Execution,Ruocan Wei(独立研究者),arXiv/2026-09-01,普通收录,"轨迹即技能(TaaS),三级路由复用历史执行经验,安全监控省62.3% token","查询分直接复用/技能替换/完整ReAct三级,历史轨迹抽象为可复用技能,1007条安全监控省62.3% token,ToolBench跨域省76.3%,在线学习形成越用越高效正反馈","TaaS概念将执行轨迹固化为确定性技能,冷启动到成熟的累积优化","技能抽象边界依赖语义相似度可靠性,技能库冷启动与失效检测未充分解决",https://arxiv.org/abs/2609.01428
105,2026-09-06,第7期-每周执行,AI/大模型,低资源训练,Task-Level Natural Language Priors as Learning Signals for Low-Resource LLM Training,"Jian Gao, Xiao Zhang, Ji Wu 等(清华大学)",arXiv/2026-09-02,普通收录,"把自然语言先验从输入上下文升级为训练学习信号,CPS一致超越普通微调","CPS在原始监督目标外增加正负先验条件化辅助损失,AmbiMath达97.6%,Jigsaw上1/10数据超全量微调,HANS非蕴含准确率提升5.2-8.3个百分点","先验作为训练学习信号而非仅prompt,主动排斥误导性捷径","先验质量影响效果,大规模数据下边际收益是否衰减待验证",https://export.arxiv.org/abs/2609.02244
